key,en,de
header:skip_link,Skip to main content, Zum Hauptinhalt springen
header:alpha,Alpha,Alpha-Version
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",Diese Seite befindet sich im Entwicklungsstadium.Wir freuen uns über Ihre Kommentare.
header:tag_line,17 Goals to Transform our World,
header:high_contrast,High contrast,Hoher kontrast
header:default_contrast,Default contrast,Standard kontrast
header:enable_high_contrast,Enable high contrast,Aktivieren Sie hohen Kontrast
header:disable_high_contrast,Disable high contrast,Hoher Kontrast deaktivieren
post:posts_by_category,Posts by Category,Beiträge geordnet nach Kategorien
post:view_all_in_category,View all posts in the %category_name category, Zeige alle Beiträge in der %category_name Kategorie an
metadata_fields:other_info,Other information,Weitere Informationen
metadata_fields:computation_calculations,Calculations,Methodik
metadata_fields:computation_definitions,Definitions,Definitionen
metadata_fields:computation_units,Unit of measurement,Einheit
metadata_fields:goal_meta_link,Link to UN metadata,Link zu den globalen Metadaten
metadata_fields:indicator,Indicator number,Indikatorennummerierung
metadata_fields:indicator_definition,Global indicator description,Globale Indikatorenbeschreibung
metadata_fields:indicator_name,Indicator name,Indikatorenbezeichnung
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Indikatorenreihenfolge (in der Zielübersicht)
metadata_fields:national_data_update_url,Data last updated,Daten zuletzt aktualisiert am
metadata_fields:national_geographical_coverage,Geographical coverage,Geographische Abdeckung
metadata_fields:national_indicator_available,Indicator available,Verfügbare Datenreihenbezeichnung
metadata_fields:national_indicator_description,Indicator description,Indikatorenbeschreibung
metadata_fields:national_metadata_update_url,Metadata last updated,Metadaten zuletzt aktualisiert am
metadata_fields:source_contact_1,Contact details,Kontaktinformationen
metadata_fields:source_contact_2,Contact details,Kontaktinformationen
metadata_fields:source_contact_3,Contact details,Kontaktinformationen
metadata_fields:source_contact_4,Contact details,Kontaktinformationen
metadata_fields:source_contact_5,Contact details,Kontaktinformationen
metadata_fields:source_contact_6,Contact details,Kontaktinformationen
metadata_fields:source_earliest_available_1,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_2,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_3,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_4,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_5,Earliest available data,Daten verfügbar seit
metadata_fields:source_earliest_available_6,Earliest available data,Daten verfügbar seit
metadata_fields:source_geographical_coverage_1,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_2,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_3,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_4,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_5,Geographical coverage,Geographische Abdeckung
metadata_fields:source_geographical_coverage_6,Geographical coverage,Geographische Abdeckung
metadata_fields:source_next_release_1,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_2,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_3,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_4,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_5,Next release,Nächste Veröffentlichung am
metadata_fields:source_next_release_6,Next release,Nächste Veröffentlichung am
metadata_fields:source_organisation_1,Organisation,Organisation
metadata_fields:source_organisation_2,Organisation,Organisation
metadata_fields:source_organisation_3,Organisation,Organisation
metadata_fields:source_organisation_4,Organisation,Organisation
metadata_fields:source_organisation_5,Organisation,Organisation
metadata_fields:source_organisation_6,Organisation,Organisation
metadata_fields:source_other_info_1,Other information,Weitere Informationen
metadata_fields:source_other_info_2,Other information,Weitere Informationen
metadata_fields:source_other_info_3,Other information,Weitere Informationen
metadata_fields:source_other_info_4,Other information,Weitere Informationen
metadata_fields:source_other_info_5,Other information,Weitere Informationen
metadata_fields:source_other_info_6,Other information,Weitere Informationen
metadata_fields:source_periodicity_1,Periodicity,Periodizität
metadata_fields:source_periodicity_2,Periodicity,Periodizität
metadata_fields:source_periodicity_3,Periodicity,Periodizität
metadata_fields:source_periodicity_4,Periodicity,Periodizität
metadata_fields:source_periodicity_5,Periodicity,Periodizität
metadata_fields:source_periodicity_6,Periodicity,Periodizität
metadata_fields:source_release_date_1,Release date,Veröffentlichungsdatum
metadata_fields:source_release_date_2,Release date,Veröffentlichungsdatum
metadata_fields:source_release_date_3,Release date,Veröffentlichungsdatum
metadata_fields:source_release_date_4,Release date,Veröffentlichungsdatum
metadata_fields:source_release_date_5,Release date,Veröffentlichungsdatum
metadata_fields:source_release_date_6,Release date,Veröffentlichungsdatum
metadata_fields:source_statistical_classification_1,Statistical classification, Datentyp
metadata_fields:source_statistical_classification_2,Statistical classification,Datentyp
metadata_fields:source_statistical_classification_3,Statistical classification,Datentyp
metadata_fields:source_statistical_classification_4,Statistical classification,Datentyp
metadata_fields:source_statistical_classification_5,Statistical classification,Datentyp
metadata_fields:source_statistical_classification_6,Statistical classification,Datentyp
metadata_fields:source_url_1,Link to data source,Link zur Datenquelle
metadata_fields:source_url_2,Link to data source,Link zur Datenquelle
metadata_fields:source_url_3,Link to data source,Link zur Datenquelle
metadata_fields:source_url_4,Link to data source,Link zur Datenquelle
metadata_fields:source_url_5,Link to data source,Link zur Datenquelle
metadata_fields:source_url_6,Link to data source,Link zur Datenquelle
metadata_fields:target,Target name,Unterziel
metadata_fields:target_id,Target number,Unterzielnummerierung
metadata_fields:un_custodian_agency,UN custodian agency,VN Custodian Agency
metadata_fields:un_designated_tier,UN designated tier,VN Tier Klassifikation
metadata_fields:quality_assurance,Quality assurance,Qualitätssicherung
metadata_fields:international_comparability,Comparability with international data/standards,Vergleichbarkeit mit internationalen Daten / Standards
metadata_fields:comments_limitations,Comments and limitations,Kommentare und Einschränkungen
metadata_fields:rational_interpretation,Rational and interpretation,Vernunft und Interpretation
metadata_fields:copyright,Copyright,Urheberrechte
status:reporting_status,Reporting Status,Berichtsstatus
status:overall_reporting_status,Overall Reporting Status,Übersicht zum Berichtsstatus
status:reported_online,Reported online,Daten verfügbar
status:statistics_in_progress,Statistics in progress,in Bearbeitung
status:exploring_data_sources,Exploring data sources,Datenquellenanalyse
status:not_applicable,Not applicable,Nicht zutreffend
status:status_by_goal,Status by goal,Status nach Ziel
status:status_by_field,Status by %field,Status von %field
search:search,Search,Suche
search:indicator_search,Indicator search,Indikatorensuche
search:search_results_for,Search results for,Ergebnisse zu
search:found_in,found in,gefunden unter
search:keywords,Keywords,Schlagworte
search:no_results,No results,Keine Ergebnisse
search:did_you_mean,did you mean,meintest du
general:indicator,Metric,Indikator
general:indicators,Metrics,Indikatoren
general:goal,Goal,Ziel
general:goals,Goals,Ziele
general:sdg,Sustainable Development Goals,Ziele für Nachhaltige Entwicklung
general:home,Home,Home
general:loading,Loading search results,Ergebnisse werden geladen
general:opens_new_window,opens in a new window,in neuem Fenster öffnen
general:target,Target,Unterziel
general:targets,Targets,Unterziele
general:twitter,Twitter,Twitter
general:facebook,Facebook,Facebook
general:built_using_open_sdg,Built using Open SDG,Erstellt mit Open SDG
general:page,Page,Website
general:pages,Pages,Webseiten
global_goals:1-short,Climate and weather,Climate and weather
global_goals:1-title,Climate and weather,Climate and weather
global_goals:2-short,Emissions,Emissions
global_goals:2-title,Emissions,Emissions
global_goals:3-short,Drivers,Drivers
global_goals:3-title,Drivers,Drivers
global_goals:4-short,Impacts,Impacts
global_goals:4-title,Impacts,Impacts
global_goals:5-short,Mitigation,Mitigation
global_goals:5-title,Mitigation,Mitigation
global_goals:6-short,Adaption,Adaption
global_goals:6-title,Adaption,Adaption
menu:menu,Menu,Menü
menu:reporting_status,Reporting Status,Berichtsstatus
menu:about,About,Über uns
menu:publications,Publications,Veröffentlichungen
menu:guidance,Guidance,Technische Hinweise
menu:faq,FAQ,FAQ
menu:contact_us,Contact us,Kontakt
menu:cookies,Cookies,Cookies
menu:updates,Updates,
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Environmental Statistics measures.",Klicken Sie auf die einzelnen Ziele um zu den Daten zu den Daten zu den Indikatoren der Ziele für nachhaltige Entwicklung für %name zu gelangen. Oder %before_link suchen %after_link Sie gezielt nach spezifischenThemen.
frontpage:heading,%name data for Environmental Statistics measures,%name daten zu den Indikatoren der Ziele für nachhaltige Entwicklung
frontpage:download_all,Download all data,Laden Sie alle Daten herunter
frontpage:zip_file,ZIP file,zip-Datei
frontpage:intro_title,Environmental Statistics Measures(TEST SITE),"17 Ziele, um unsere Welt zu verändern"
frontpage:intro_body,The open-climate platform is under construction.,"Die <a href=""https://www.un.org/sustainabledevelopment/sustainable-development-goals/"">Nachhaltige Entwicklungsziele (SDGs)</a> sind ein universeller Aufruf zum Handeln, um die Armut zu beenden, den Planeten zu schützen und das Leben und die Aussichten aller und überall zu verbessern. Die 17 Ziele wurden 2015 von allen UN-Mitgliedsstaaten als Teil der <a href=""http://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=E"">2030 Agenda für nachhaltige Entwicklung</a> angenommen."
global_targets:1-1-title,UK Climate Series,UK Climate Series
global_targets:1-2-title,UK Climate Projections,UK Climate Projections
global_targets:1-3-title,Severe weather events and hazards,Severe weather events and hazards
global_targets:2-1-title,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions
global_targets:3-1-title,GHG activities,GHG activities
global_targets:3-2-title,Inefficient use of materials,Inefficient use of materials
global_targets:3-3-title,Depletion of natural capital,Depletion of natural capital
global_targets:3-4-title,Population,Population
global_targets:3-5-title,Energy statistics,Energy statistics
global_targets:4-1-title,Disruption or unwanted impacts,Disruption or unwanted impacts
global_targets:4-2-title,Air Quality,Air Quality
global_targets:4-3-title,Ecosystem condition and biodiversity,Ecosystem condition and biodiversity
global_targets:4-4-title,Spread of climate-sensitive pests and diseases,Spread of climate-sensitive pests and diseases
global_targets:5-1-title,Energy and material efficiency,Energy and material efficiency
global_targets:5-2-title,Green economy,Green economy
global_targets:5-3-title,Population growth,Population growth
global_targets:5-4-title,"Governance, regulation and education","Governance, regulation and education"
global_targets:5-5-title,Expenditure and investment,Expenditure and investment
global_targets:6-1-title,Natural environmental resilience,Natural environmental resilience
global_targets:6-2-title,Commercial natural environment,Commercial natural environment
global_targets:6-3-title,People and the built environment,People and the built environment
global_targets:6-4-title,Critical infrastructure,Critical infrastructure
global_targets:6-5-title,Business,Business
global_targets:6-6-title,Effective emergency planning systems,Effective emergency planning systems
indicator:select_all,Select all,Alle auswählen
indicator:clear_all,Clear all,Auswahl aufheben
indicator:clear_selections,Clear selections,Auswahl aufheben
indicator:variable_hint,Available when '%field' is selected,Verfügbar
indicator:no_data_hint,No options available because of filters above,Aufgrund der bereits getroffenen Auswahl sind keine weiteren Auswahlmöglichkeiten verfügbar.
indicator:download_headline,Download Headline CSV,Speichern der Headline im CSV-Format
indicator:download_headline_title,Download headline data as CSV,Speichern der Headline im CSV-Format
indicator:download_source,Download Source CSV,Daten im CSV-Format speichern
indicator:download_source_title,Download source data as CSV,Daten im CSV-Format speichern
indicator:download_chart,Download Chart CSV,Grafik im CSV-Format speichern
indicator:download_table,Download Table CSV,Tabelle im CSV-Format speichern
indicator:download_csv,Download CSV,im CSV-Format speichern
indicator:download_csv_title,Download as CSV,im CSV-Format speichern
indicator:download_chart_image,Download Chart Image,Grafik herunterladen
indicator:download_chart_image_title,Download chart as image,Grafik als Bild herunterladen
indicator:download_geojson,Download GeoJSON,im GeoJSON-Format speichern
indicator:download_geojson_title,Download as GeoJSON,im GeoJSON-Format speichern
indicator:source,Source,Datenquelle
indicator:sources,Sources,Datenquellen
indicator:geographical_area,Geographical Area,Geographische Abdeckung
indicator:unit_of_measurement,Unit of Measurement,Einheit
indicator:footnote,Footnote,Fußnote
indicator:units_type,Units type,Einheit
indicator:series,Series,Reihe
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,Zu viele Zeitreihen ausgewählt um diese in einer Grafik darzustellen. Es können nicht alle Zeitreihen dargestellt werden
indicator:view_indicator_list,View this goal's indicator list,Zeigt die Indikatorenliste zum SDG-Ziel an.
indicator:sub_categories,Sub-categories,Disaggregationsdimensionen
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,"Wählen Sie Disaggregationsdimensionen aus, damit die verfügbaren Disaggregationskategorien angezeigt werden. Manche werden erst angezeigt, sobald eine Überkategorie ausgewählt wird."
indicator:legend_help,Click on the legend to remove individual lines from the chart.,Klicken Sie auf die Legende um Zeitreihen aus der Grafik zu entfernen.
indicator:chart,Chart,Grafik
indicator:table,Table,Tabelle
indicator:map,Map,Karte
indicator:loading_map,Loading map,Karte wird geladen
indicator:national_metadata,National Metadata,Nationale Metadaten
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_name statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_adjective-specific metadata information.","Im Folgenden werden Metadaten zu den national verfügbaren Zeitreihen für %country_name zum jeweiligen globalen SDG-Indikator bereitgestellt. Die angegebene Datenreihe ist die vergleichbarste, national verfügbare Zeitreihe. Entspricht die angezeigte Datenreihe voll den globalen Metadaten, so ist dennoch auf diese nationalen Metadaten für methodische sowie weitere länderspezifische Informationen hinzuweisen."
indicator:global_metadata,Global Metadata,Globale Metadaten
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.","Diese Übersicht stellt Informationen zu den globalen Metadaten des jeweiligen SDG-Indikators bereit. Die <a href=""""https://unstats.un.org/sdgs/metadata/"""">globalen Metadaten</a> werden durch die Statistische Division der Vereinten Nationen bereitgestellt."
indicator:edit,Edit,Bearbeiten
indicator:edit_data,Edit Data,Daten bearbeiten
indicator:edit_metadata,Edit Metadata,Metadaten bearbeiten
global_indicators:1-1-1-title,Historic trends,Historic trends
global_indicators:1-2-1-title,Change over time,Change over time
global_indicators:1-2-2-title,Global indicators (TBC),Global indicators (TBC)
global_indicators:1-3-1-title,Severe weather events,Severe weather events
global_indicators:1-3-2-title,Flooding occurence,Flooding occurence
global_indicators:2-1-1-title,Estimated territorial greenhouse gas emissions by gas,Estimated territorial greenhouse gas emissions by gas
global_indicators:2-1-2-title,UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC),UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC)
global_indicators:3-1-1-title,Total GHG emissions by sector,Total GHG emissions by sector
global_indicators:3-2-1-title,Raw material consumption,Raw material consumption
global_indicators:3-3-1-title,Land cover and degraded land area,Land cover and degraded land area
global_indicators:3-3-2-title,Soil and peatland health,Soil and peatland health
global_indicators:3-3-3-title,Extent of protected area (TBC),Extent of protected area (TBC)
global_indicators:3-4-1-title,Population (historic),Population (historic)
global_indicators:3-4-2-title,Population (projections),Population (projections)
global_indicators:3-5-1-title,Energy supply by source (TBC),Energy supply by source (TBC)
global_indicators:3-5-2-title,Energy intensity (TBC),Energy intensity (TBC)
global_indicators:3-5-3-title,Energy and pollution consumption (TBC),Energy and pollution consumption (TBC)
global_indicators:4-1-1-title,Drought,Drought
global_indicators:4-1-2-title,Heat waves,Heat waves
global_indicators:4-1-3-title,Storms and gales,Storms and gales
global_indicators:4-1-4-title,Low temperatures and heavy snow,Low temperatures and heavy snow
global_indicators:4-1-5-title,Flooding or Coastal erosion,Flooding or Coastal erosion
global_indicators:4-2-1-title,"Concentrations of GHG and pollutants in the atmosphere, annual means","Concentrations of GHG and pollutants in the atmosphere, annual means"
global_indicators:4-2-2-title,Rural background concentrations of ozone,Rural background concentrations of ozone
global_indicators:4-2-3-title,Roadside nitrogen dioxide concentrations,Roadside nitrogen dioxide concentrations
global_indicators:4-2-4-title,Clean air indicators,Clean air indicators
global_indicators:4-3-1-title,Water,Water
global_indicators:4-3-2-title,Seas and Estuaries,Seas and Estuaries
global_indicators:4-3-3-title,Wildlife,Wildlife
global_indicators:4-4-1-title,Abatement of the number of invasive non-native species entering and establishing against a baseline,Abatement of the number of invasive non-native species entering and establishing against a baseline
global_indicators:4-4-2-title,Distribution of invasive non-native species and plant pests and diseases,Distribution of invasive non-native species and plant pests and diseases
global_indicators:5-1-1-title,Footprints,Footprints
global_indicators:5-1-2-title,Sustainable household expenditure,Sustainable household expenditure
global_indicators:5-1-3-title,Circular economy,Circular economy
global_indicators:5-2-1-title,Green jobs,Green jobs
global_indicators:5-2-2-title,Business,Business
global_indicators:5-2-3-title,Government,Government
global_indicators:5-3-1-title,Population projection,Population projection
global_indicators:5-3-2-title,Variables that transform the projections,Variables that transform the projections
global_indicators:5-4-1-title,Climate change mitigation expenditure,Climate change mitigation expenditure
global_indicators:5-4-2-title,Green R&D,Green R&D
global_indicators:5-4-3-title,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies
global_indicators:5-4-4-title,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
global_indicators:5-4-5-title,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions","Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions"
global_indicators:5-4-6-title,Proportion of national exclusive economic zones managed using ecosystem-based approaches,Proportion of national exclusive economic zones managed using ecosystem-based approaches
global_indicators:5-4-7-title,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
global_indicators:5-4-8-title,Progress towards sustainable forest management,Progress towards sustainable forest management
global_indicators:5-5-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services
global_indicators:5-5-2-title,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels
global_indicators:5-5-3-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems
global_indicators:6-1-1-title,Water security,Water security
global_indicators:6-1-2-title,Terrestrial habitats,Terrestrial habitats
global_indicators:6-1-3-title,Freshwater habitats,Freshwater habitats
global_indicators:6-1-4-title,Marine and coastal habitats,Marine and coastal habitats
global_indicators:6-1-5-title,Soil health and carbon sequestration,Soil health and carbon sequestration
global_indicators:6-2-1-title,Food security (crops and livestock),Food security (crops and livestock)
global_indicators:6-2-2-title,Commercial forestry,Commercial forestry
global_indicators:6-2-3-title,Commercial fisheries and aquaculture,Commercial fisheries and aquaculture
global_indicators:6-2-4-title,Farmed countryside,Farmed countryside
global_indicators:6-3-1-title,"Pathogens, air quality and UV radiation","Pathogens, air quality and UV radiation"
global_indicators:6-3-2-title,Development in areas at risk of river and coastal flooding,Development in areas at risk of river and coastal flooding
global_indicators:6-3-3-title,Surface water flood alleviation,Surface water flood alleviation
global_indicators:6-3-4-title,Development and surface water flood risk,Development and surface water flood risk
global_indicators:6-3-5-title,Property-level flood resilience,Property-level flood resilience
global_indicators:6-3-6-title,Capacity of people and communities to recover from flooding,Capacity of people and communities to recover from flooding
global_indicators:6-3-7-title,Coastal change risk management,Coastal change risk management
global_indicators:6-3-8-title,Water demand in the built environment,Water demand in the built environment
global_indicators:6-3-9-title,Health impacts from heat and cold,Health impacts from heat and cold
global_indicators:6-4-1-title,Transport network,Transport network
global_indicators:6-4-2-title,Public services,Public services
global_indicators:6-4-3-title,NSIP,NSIP
global_indicators:6-5-1-title,Business impacts from extreme weather,Business impacts from extreme weather
global_indicators:6-5-2-title,Supply chain interruptions,Supply chain interruptions
global_indicators:6-5-3-title,Water demand by industry,Water demand by industry
global_indicators:6-5-4-title,Business opportunities from climate change,Business opportunities from climate change
global_indicators:6-6-1-title,Disaster planning and strategies,Disaster planning and strategies
global_indicators:6-6-2-title,Early warning systems,Early warning systems
calendar:January,January,Januar
calendar:February,February,Februar
calendar:March,March,März
calendar:April,April,April
calendar:May,May,Kann
calendar:June,June,Juni
calendar:July,July,Juli
calendar:August,August,August
calendar:September,September,September
calendar:October,October,Oktober
calendar:November,November,November
calendar:December,December,Dezember
