key,en,ru
header:skip_link,Skip to main content,Перейти к главному содержанию
header:alpha,Alpha,Альфа
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",Это сайт находится в разработке. Мы рады вашим отзывам.
header:tag_line,17 Goals to Transform our World,"17 Целей, чтобы преобразовать наш мир"
header:high_contrast,High contrast,высокий контраст
header:default_contrast,Default contrast,стандартный контраст
header:enable_high_contrast,Enable high contrast,Включить высокую контрастность
header:disable_high_contrast,Disable high contrast,Отключить высокую контрастность
post:posts_by_category,Posts by Category,Посты по категории
post:view_all_in_category,View all posts in the %category_name category,Просмотреть все посты в категории
metadata_fields:other_info,Other information,Другая информация
metadata_fields:computation_calculations,Calculations,Расчёты
metadata_fields:computation_definitions,Definitions,Определения
metadata_fields:computation_units,Unit of measurement,Единица измерения
metadata_fields:goal_meta_link,Link to UN metadata,Ссылка на метаданные ООН
metadata_fields:indicator,Indicator number,Номер показателя
metadata_fields:indicator_definition,Global indicator description,Описание глобального показателя
metadata_fields:indicator_name,Indicator name,Название показателя
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Порядок отображения показателей (на странице целей)
metadata_fields:national_data_update_url,Data last updated,Последний раз данные обновлялись
metadata_fields:national_geographical_coverage,Geographical coverage,Географический охват
metadata_fields:national_indicator_available,Indicator available,Показатель доступен
metadata_fields:national_indicator_description,Indicator description,Описание показателя
metadata_fields:national_metadata_update_url,Metadata last updated, Последний раз метаданные обновлялись
metadata_fields:source_contact_1,Contact details,Контактные данные
metadata_fields:source_contact_2,Contact details,Контактные данные
metadata_fields:source_contact_3,Contact details,Контактные данные
metadata_fields:source_contact_4,Contact details,Контактные данные
metadata_fields:source_contact_5,Contact details,Контактные данные
metadata_fields:source_contact_6,Contact details,Контактные данные
metadata_fields:source_earliest_available_1,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_2,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_3,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_4,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_5,Earliest available data,Самые ранние доступные данные
metadata_fields:source_earliest_available_6,Earliest available data,Самые ранние доступные данные
metadata_fields:source_geographical_coverage_1,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_2,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_3,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_4,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_5,Geographical coverage,Географический охват
metadata_fields:source_geographical_coverage_6,Geographical coverage,Географический охват
metadata_fields:source_next_release_1,Next release,Следующий  выпуск
metadata_fields:source_next_release_2,Next release,Следующий  выпуск
metadata_fields:source_next_release_3,Next release,Следующий  выпуск
metadata_fields:source_next_release_4,Next release,Следующий  выпуск
metadata_fields:source_next_release_5,Next release,Следующий  выпуск
metadata_fields:source_next_release_6,Next release,Следующий  выпуск
metadata_fields:source_organisation_1,Organisation,Организация
metadata_fields:source_organisation_2,Organisation,Организация
metadata_fields:source_organisation_3,Organisation,Организация
metadata_fields:source_organisation_4,Organisation,Организация
metadata_fields:source_organisation_5,Organisation,Организация
metadata_fields:source_organisation_6,Organisation,Организация
metadata_fields:source_other_info_1,Other information,Другая информация
metadata_fields:source_other_info_2,Other information,Другая информация
metadata_fields:source_other_info_3,Other information,Другая информация
metadata_fields:source_other_info_4,Other information,Другая информация
metadata_fields:source_other_info_5,Other information,Другая информация
metadata_fields:source_other_info_6,Other information,Другая информация
metadata_fields:source_periodicity_1,Periodicity,Периодичность
metadata_fields:source_periodicity_2,Periodicity,Периодичность
metadata_fields:source_periodicity_3,Periodicity,Периодичность
metadata_fields:source_periodicity_4,Periodicity,Периодичность
metadata_fields:source_periodicity_5,Periodicity,Периодичность
metadata_fields:source_periodicity_6,Periodicity,Периодичность
metadata_fields:source_release_date_1,Release date,Дата выпуска
metadata_fields:source_release_date_2,Release date,Дата выпуска
metadata_fields:source_release_date_3,Release date,Дата выпуска
metadata_fields:source_release_date_4,Release date,Дата выпуска
metadata_fields:source_release_date_5,Release date,Дата выпуска
metadata_fields:source_release_date_6,Release date,Дата выпуска
metadata_fields:source_statistical_classification_1,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_2,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_3,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_4,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_5,Statistical classification,Статистическая классификация
metadata_fields:source_statistical_classification_6,Statistical classification,Статистическая классификация
metadata_fields:source_url_1,Link to data source,Ссылка на источник данных
metadata_fields:source_url_2,Link to data source,Ссылка на источник данных
metadata_fields:source_url_3,Link to data source,Ссылка на источник данных
metadata_fields:source_url_4,Link to data source,Ссылка на источник данных
metadata_fields:source_url_5,Link to data source,Ссылка на источник данных
metadata_fields:source_url_6,Link to data source,Ссылка на источник данных
metadata_fields:target,Target name,Название задачи
metadata_fields:target_id,Target number,Номер задачи
metadata_fields:un_custodian_agency,UN custodian agency,Депозитарное учреждение ООН 
metadata_fields:un_designated_tier,UN designated tier,Назначенный ООН уровень
metadata_fields:quality_assurance,Quality assurance,Гарантия качества
metadata_fields:international_comparability,Comparability with international data/standards,Сопоставимость с международными данными / стандартами
metadata_fields:comments_limitations,Comments and limitations,Комментарии и ограничения
metadata_fields:rational_interpretation,Rational and interpretation,Рациональное и интерпретация
metadata_fields:copyright,Copyright,Авторские права
status:reporting_status,Reporting Status,Статус отчётности
status:overall_reporting_status,Overall Reporting Status,Общее состояние отчётности
status:reported_online,Reported online,Опубликован
status:statistics_in_progress,Statistics in progress,Статистика в процессе выполнения
status:exploring_data_sources,Exploring data sources,В процессе разработки
status:not_applicable,Not applicable,Непригодный
status:status_by_goal,Status by goal,Статус по цели
status:status_by_field,Status by %field,Статус по %field
search:search,Search,Поиск
search:indicator_search,Indicator search,Поиск показателя
search:search_results_for,Search results for,Результаты поиска по вашему запросу
search:found_in,found in,найдено в
search:keywords,Keywords,Ключевые слова
search:no_results,No results,Результатов не найдено
search:did_you_mean,did you mean,вы имеете в виду
general:indicator,Metric,Показатель
general:indicators,Metrics,Показатели
general:goal,Goal,Цель
general:goals,Goals,Цели
general:sdg,Sustainable Development Goals,Цели в области устойчивого развития
general:home,Home,Главная
general:loading,Loading search results,Загрузка результатов поиска
general:opens_new_window,opens in a new window,открывается в новой вкладке
general:target,Target,Задача
general:targets,Targets,Задачи
general:twitter,Twitter,Твиттеру
general:facebook,Facebook,Facebook
general:built_using_open_sdg,Built using Open SDG,Построен с использованием Open SDG
general:page,Page,веб-страница
general:pages,Pages,веб-страница
global_goals:1-short,Climate and weather,Climate and weather
global_goals:1-title,Climate and weather,Climate and weather
global_goals:2-short,Emissions,Emissions
global_goals:2-title,Emissions,Emissions
global_goals:3-short,Drivers,Drivers
global_goals:3-title,Drivers,Drivers
global_goals:4-short,Impacts,Impacts
global_goals:4-title,Impacts,Impacts
global_goals:5-short,Mitigation,Mitigation
global_goals:5-title,Mitigation,Mitigation
global_goals:6-short,Adaption,Adaption
global_goals:6-title,Adaption,Adaption
menu:menu,Menu,Меню
menu:reporting_status,Reporting Status,Состояние отчётности
menu:about,About,О нас
menu:publications,Publications,Публикации
menu:guidance,Guidance,Руководство
menu:faq,FAQ,Часто задаваемые вопросы
menu:contact_us,Contact us,Свяжитесь с нами
menu:cookies,Cookies,Cookies
menu:updates,Updates,
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Environmental Statistics measures.","Нажмите на каждую цель, или %before_link поищите %after_link статистики для глобальных показателей целей в области устойчивого развития."
frontpage:heading,%name data for Environmental Statistics measures,%name данные для целей в области устойчивого развития
frontpage:download_all,Download all data,Скачать все данные
frontpage:zip_file,ZIP file,ZIP файл
frontpage:intro_title,Environmental Statistics Measures(TEST SITE),17 целей преобразить наш мир
frontpage:intro_body,The open-climate platform is under construction.,"<a href=""https://www.un.org/sustainabledevelopment/ru/"">Цели в области устойчивого развития (ЦУР)</a> представляют собой универсальный призыв к действиям, направленным на то, чтобы покончить с нищетой, защитить планету и улучшить жизнь и перспективы каждого человека, где бы он ни находился. Эти 17 целей были приняты всеми государствами-членами ООН в 2015 году в рамках <a href=""https://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=R"">2030 Повестки дня в области устойчивого развития</a>."
global_targets:1-1-title,UK Climate Series,UK Climate Series
global_targets:1-2-title,UK Climate Projections,UK Climate Projections
global_targets:1-3-title,Severe weather events and hazards,Severe weather events and hazards
global_targets:2-1-title,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions
global_targets:3-1-title,GHG activities,GHG activities
global_targets:3-2-title,Inefficient use of materials,Inefficient use of materials
global_targets:3-3-title,Depletion of natural capital,Depletion of natural capital
global_targets:3-4-title,Population,Population
global_targets:3-5-title,Energy statistics,Energy statistics
global_targets:4-1-title,Disruption or unwanted impacts,Disruption or unwanted impacts
global_targets:4-2-title,Air Quality,Air Quality
global_targets:4-3-title,Ecosystem condition and biodiversity,Ecosystem condition and biodiversity
global_targets:4-4-title,Spread of climate-sensitive pests and diseases,Spread of climate-sensitive pests and diseases
global_targets:5-1-title,Energy and material efficiency,Energy and material efficiency
global_targets:5-2-title,Green economy,Green economy
global_targets:5-3-title,Population growth,Population growth
global_targets:5-4-title,"Governance, regulation and education","Governance, regulation and education"
global_targets:5-5-title,Expenditure and investment,Expenditure and investment
global_targets:6-1-title,Natural environmental resilience,Natural environmental resilience
global_targets:6-2-title,Commercial natural environment,Commercial natural environment
global_targets:6-3-title,People and the built environment,People and the built environment
global_targets:6-4-title,Critical infrastructure,Critical infrastructure
global_targets:6-5-title,Business,Business
global_targets:6-6-title,Effective emergency planning systems,Effective emergency planning systems
indicator:select_all,Select all,Выделить всё
indicator:clear_all,Clear all,Очистить всё
indicator:clear_selections,Clear selections,Очистить выделенное
indicator:variable_hint,Available when '%field' is selected,"Доступно, когда выбрано"
indicator:no_data_hint,No options available because of filters above,Нет имеющихся вариантов из-за фильтров наверху.
indicator:download_headline,Download Headline CSV,Скачать заголовки CSV
indicator:download_headline_title,Download headline data as CSV,Скачать данные заголовков в формате CSV
indicator:download_source,Download Source CSV,Скачать исходные CSV
indicator:download_source_title,Download source data as CSV,Скачать исходные данные в формате CSV
indicator:download_chart,Download Chart CSV,Скачать график CSV
indicator:download_table,Download Table CSV,Скачать табличные CSV
indicator:download_csv,Download CSV,Скачать CSV
indicator:download_csv_title,Download as CSV,Скачать в формате CSV
indicator:download_chart_image,Download Chart Image,Загрузить изображение диаграммы
indicator:download_chart_image_title,Download chart as image,Скачать диаграмму как изображение
indicator:download_geojson,Download GeoJSON,Скачать GeoJSON
indicator:download_geojson_title,Download as GeoJSON,Скачать в формате GeoJSON
indicator:source,Source,Источник
indicator:sources,Sources,Источники
indicator:geographical_area,Geographical Area,Географический район
indicator:unit_of_measurement,Unit of Measurement,Единица измерения
indicator:footnote,Footnote,Сноска
indicator:units_type,Units type,Вид единиц
indicator:series,Series,Серии
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,"В таблице слишком много данных, чтобы показать в графике. Чтобы увидеть все, удалите выделенное."
indicator:view_indicator_list,View this goal's indicator list,Посмотреть список индикаторов этой цели
indicator:sub_categories,Sub-categories,Субкатегории
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,"Выберите категории из выпадающего меню внизу, чтобы увидеть разные разбивки данных. Несколько не будет доступно, пока более высокий уровень не выбран. "
indicator:legend_help,Click on the legend to remove individual lines from the chart.,"Нажмите на легенду, чтобы убрать линии из графика."
indicator:chart,Chart,График
indicator:table,Table,Таблица
indicator:map,Map,Карта
indicator:loading_map,Loading map,Загрузка карты
indicator:national_metadata,National Metadata,Национальные метаданные
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_name statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_adjective-specific metadata information.","В этой таблице представлены метаданные для фактического показателя, доступного из статистики ближайшей к соответствующему глобальному индикатору ЦУР. Обратите внимание, что даже если глобальный индикатор ЦУР полностью доступен из статистики, по этой таблице следует проконсультироваться для получения информации о национальной методологии и других специфичных метаданных."
indicator:global_metadata,Global Metadata,Глобальные метаданные
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.","В этой таблице представлена информация для метаданных показателей ЦУР, определенных Статистической комиссией ООН. Полные глобальные метаданные представлены Статистическим отделом ООН."
indicator:edit,Edit,Редактировать
indicator:edit_data,Edit Data,Редактировать данные
indicator:edit_metadata,Edit Metadata,Редактировать метаданные
global_indicators:1-1-1-title,Historic trends,Historic trends
global_indicators:1-2-1-title,Change over time,Change over time
global_indicators:1-2-2-title,Global indicators (TBC),Global indicators (TBC)
global_indicators:1-3-1-title,Severe weather events,Severe weather events
global_indicators:1-3-2-title,Flooding occurence,Flooding occurence
global_indicators:2-1-1-title,Estimated territorial greenhouse gas emissions by gas,Estimated territorial greenhouse gas emissions by gas
global_indicators:2-1-2-title,UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC),UK annual emissions of some pollutants / Concentrations in the atmosphere (TBC)
global_indicators:3-1-1-title,Total GHG emissions by sector,Total GHG emissions by sector
global_indicators:3-2-1-title,Raw material consumption,Raw material consumption
global_indicators:3-3-1-title,Land cover and degraded land area,Land cover and degraded land area
global_indicators:3-3-2-title,Soil and peatland health,Soil and peatland health
global_indicators:3-3-3-title,Extent of protected area (TBC),Extent of protected area (TBC)
global_indicators:3-4-1-title,Population (historic),Population (historic)
global_indicators:3-4-2-title,Population (projections),Population (projections)
global_indicators:3-5-1-title,Energy supply by source (TBC),Energy supply by source (TBC)
global_indicators:3-5-2-title,Energy intensity (TBC),Energy intensity (TBC)
global_indicators:3-5-3-title,Energy and pollution consumption (TBC),Energy and pollution consumption (TBC)
global_indicators:4-1-1-title,Drought,Drought
global_indicators:4-1-2-title,Heat waves,Heat waves
global_indicators:4-1-3-title,Storms and gales,Storms and gales
global_indicators:4-1-4-title,Low temperatures and heavy snow,Low temperatures and heavy snow
global_indicators:4-1-5-title,Flooding or Coastal erosion,Flooding or Coastal erosion
global_indicators:4-2-1-title,"Concentrations of GHG and pollutants in the atmosphere, annual means","Concentrations of GHG and pollutants in the atmosphere, annual means"
global_indicators:4-2-2-title,Rural background concentrations of ozone,Rural background concentrations of ozone
global_indicators:4-2-3-title,Roadside nitrogen dioxide concentrations,Roadside nitrogen dioxide concentrations
global_indicators:4-2-4-title,Clean air indicators,Clean air indicators
global_indicators:4-3-1-title,Water,Water
global_indicators:4-3-2-title,Seas and Estuaries,Seas and Estuaries
global_indicators:4-3-3-title,Wildlife,Wildlife
global_indicators:4-4-1-title,Abatement of the number of invasive non-native species entering and establishing against a baseline,Abatement of the number of invasive non-native species entering and establishing against a baseline
global_indicators:4-4-2-title,Distribution of invasive non-native species and plant pests and diseases,Distribution of invasive non-native species and plant pests and diseases
global_indicators:5-1-1-title,Footprints,Footprints
global_indicators:5-1-2-title,Sustainable household expenditure,Sustainable household expenditure
global_indicators:5-1-3-title,Circular economy,Circular economy
global_indicators:5-2-1-title,Green jobs,Green jobs
global_indicators:5-2-2-title,Business,Business
global_indicators:5-2-3-title,Government,Government
global_indicators:5-3-1-title,Population projection,Population projection
global_indicators:5-3-2-title,Variables that transform the projections,Variables that transform the projections
global_indicators:5-4-1-title,Climate change mitigation expenditure,Climate change mitigation expenditure
global_indicators:5-4-2-title,Green R&D,Green R&D
global_indicators:5-4-3-title,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies
global_indicators:5-4-4-title,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
global_indicators:5-4-5-title,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions","Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions"
global_indicators:5-4-6-title,Proportion of national exclusive economic zones managed using ecosystem-based approaches,Proportion of national exclusive economic zones managed using ecosystem-based approaches
global_indicators:5-4-7-title,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
global_indicators:5-4-8-title,Progress towards sustainable forest management,Progress towards sustainable forest management
global_indicators:5-5-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services
global_indicators:5-5-2-title,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels
global_indicators:5-5-3-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems
global_indicators:6-1-1-title,Water security,Water security
global_indicators:6-1-2-title,Terrestrial habitats,Terrestrial habitats
global_indicators:6-1-3-title,Freshwater habitats,Freshwater habitats
global_indicators:6-1-4-title,Marine and coastal habitats,Marine and coastal habitats
global_indicators:6-1-5-title,Soil health and carbon sequestration,Soil health and carbon sequestration
global_indicators:6-2-1-title,Food security (crops and livestock),Food security (crops and livestock)
global_indicators:6-2-2-title,Commercial forestry,Commercial forestry
global_indicators:6-2-3-title,Commercial fisheries and aquaculture,Commercial fisheries and aquaculture
global_indicators:6-2-4-title,Farmed countryside,Farmed countryside
global_indicators:6-3-1-title,"Pathogens, air quality and UV radiation","Pathogens, air quality and UV radiation"
global_indicators:6-3-2-title,Development in areas at risk of river and coastal flooding,Development in areas at risk of river and coastal flooding
global_indicators:6-3-3-title,Surface water flood alleviation,Surface water flood alleviation
global_indicators:6-3-4-title,Development and surface water flood risk,Development and surface water flood risk
global_indicators:6-3-5-title,Property-level flood resilience,Property-level flood resilience
global_indicators:6-3-6-title,Capacity of people and communities to recover from flooding,Capacity of people and communities to recover from flooding
global_indicators:6-3-7-title,Coastal change risk management,Coastal change risk management
global_indicators:6-3-8-title,Water demand in the built environment,Water demand in the built environment
global_indicators:6-3-9-title,Health impacts from heat and cold,Health impacts from heat and cold
global_indicators:6-4-1-title,Transport network,Transport network
global_indicators:6-4-2-title,Public services,Public services
global_indicators:6-4-3-title,NSIP,NSIP
global_indicators:6-5-1-title,Business impacts from extreme weather,Business impacts from extreme weather
global_indicators:6-5-2-title,Supply chain interruptions,Supply chain interruptions
global_indicators:6-5-3-title,Water demand by industry,Water demand by industry
global_indicators:6-5-4-title,Business opportunities from climate change,Business opportunities from climate change
global_indicators:6-6-1-title,Disaster planning and strategies,Disaster planning and strategies
global_indicators:6-6-2-title,Early warning systems,Early warning systems
calendar:January,January,январь
calendar:February,February,февраль
calendar:March,March,марш
calendar:April,April,апрель
calendar:May,May,май
calendar:June,June,июнь
calendar:July,July,июль
calendar:August,August,августейший
calendar:September,September,сентябрь
calendar:October,October,октября
calendar:November,November,ноябрь
calendar:December,December,Декабрь
